record_id,longitude,latitude,speed,heading,navigation_status,mmsi,ship_type,ship_name,timestamp,decode_timestamp,data_timestamp,day_id,date,unixstamp
t31kJyGyRH-_a_QXG6uU3A,113.22322845458984,22.713289260864258,3.3,511,,413841065,,,2024-07-27 04:54:31.642,2024-07-27 04:54:31.671,00:00:00,20240727,2024-07-27,1722027271.642
J19bVPDETryOQ2nXfzCqnQ,111.1488037109375,23.430458068847656,0.0,511,,413863924,,,2024-07-27 04:54:25.647,2024-07-27 04:54:25.662,00:00:00,20240727,2024-07-27,1722027265.647
6gZ_QsEAS8a2J9eyVsC8Dg,113.22337341308594,22.713010787963867,3.4,511,,413841065,,,2024-07-27 04:54:12.569,2024-07-27 04:54:12.591,00:00:00,20240727,2024-07-27,1722027252.569
8xe98-yPRI2KQz8vN55BZg,111.14897918701172,23.431556701660156,0.1,511,,413860512,,,2024-07-27 04:54:05.828,2024-07-27 04:54:05.837,00:00:00,20240727,2024-07-27,1722027245.828
lLcw9thSToOUGoGVaOzpvw,113.22344207763672,22.712858200073242,3.4,511,,413841065,,,2024-07-27 04:54:03.096,2024-07-27 04:54:03.124,00:00:00,20240727,2024-07-27,1722027243.096
EoM3H7GxTmWU374RolOJmw,113.22349548339844,22.71272087097168,3.4,511,,413841065,,,2024-07-27 04:53:53.611,2024-07-27 04:53:53.656,00:00:00,20240727,2024-07-27,1722027233.611
uiGP7TLYTcqRGqFLyJrd6w,111.14881134033203,23.430835723876953,0.0,511,,413866992,,,2024-07-27 04:53:44.184,2024-07-27 04:53:44.323,00:00:00,20240727,2024-07-27,1722027224.184
O3ExogoHT4uPibAT11xltw,113.22354888916016,22.712566375732422,3.5,511,,413841065,,,2024-07-27 04:53:44.122,2024-07-27 04:53:44.305,00:00:00,20240727,2024-07-27,1722027224.122
B3RCEBdYQ3qoH-ulDWWFeQ,113.22358703613281,22.71242332458496,3.6,511,,413841065,,,2024-07-27 04:53:34.732,2024-07-27 04:53:34.767,00:00:00,20240727,2024-07-27,1722027214.732
e_m1LRrBS0O4LFgO_fkZwA,113.22364044189453,22.712257385253906,3.7,511,,413841065,,,2024-07-27 04:53:25.094,2024-07-27 04:53:25.116,00:00:00,20240727,2024-07-27,1722027205.094
1xeJiEezScG76_rWnWo3sQ,111.14883422851562,23.43095588684082,0.0,511,,413867644,,,2024-07-27 04:53:24.677,2024-07-27 04:53:24.700,00:00:00,20240727,2024-07-27,1722027204.677
3mZXgAx7Q5SNXfFO81IXjw,113.22366333007812,22.712108612060547,3.7,511,,413841065,,,2024-07-27 04:53:15.769,2024-07-27 04:53:15.790,00:00:00,20240727,2024-07-27,1722027195.769
56pF1gS5Rm-pSByMqzdRuA,111.15213012695312,23.42454719543457,0.0,511,,413848169,,,2024-07-27 04:53:12.808,2024-07-27 04:53:12.819,00:00:00,20240727,2024-07-27,1722027192.808
af_Zgr97Qc2rRx1mZ026Pg,113.22369384765625,22.71194076538086,3.8,511,,413841065,,,2024-07-27 04:53:06.202,2024-07-27 04:53:06.229,00:00:00,20240727,2024-07-27,1722027186.202
PVrrBtEXRAKt_5B7Vs1Z7A,112.03984069824219,23.071321487426758,0.0,511,,413837924,,,2024-07-27 04:53:03.662,2024-07-27 04:53:03.699,00:00:00,20240727,2024-07-27,1722027183.662
M1c3DbghR2W6S_QynFfBZA,113.22370910644531,22.71178436279297,3.9,511,,413841065,,,2024-07-27 04:52:56.484,2024-07-27 04:52:56.499,00:00:00,20240727,2024-07-27,1722027176.484
kpi8RlpXSiGvJhEmagHHAw,113.2237319946289,22.711597442626953,3.9,511,,413841065,,,2024-07-27 04:52:46.854,2024-07-27 04:52:46.873,00:00:00,20240727,2024-07-27,1722027166.854
D227uoubTSO5YXIsrbAs6g,112.72171020507812,22.37786102294922,0.0,511,,413837923,,,2024-07-27 04:52:42.950,2024-07-27 04:52:42.962,00:00:00,20240727,2024-07-27,1722027162.95
_VpsjxRNRVCR9JlRs7t3bg,113.1605453491211,21.938175201416016,0.1,511,,413837927,,,2024-07-27 04:52:40.617,2024-07-27 04:52:40.629,00:00:00,20240727,2024-07-27,1722027160.617
8vnxwHBGTD6-MH12svlxrQ,113.22376251220703,22.711427688598633,3.9,511,,413841065,,,2024-07-27 04:52:38.026,2024-07-27 04:52:38.048,00:00:00,20240727,2024-07-27,1722027158.026
TNFOfJ-MTnWSVCiE8aex2A,113.22378540039062,22.711238861083984,4.0,511,,413841065,,,2024-07-27 04:52:28.391,2024-07-27 04:52:28.403,00:00:00,20240727,2024-07-27,1722027148.391
UugQmbYATRuvF-Sdj96jLQ,113.22380065917969,22.71106719970703,4.0,511,,413841065,,,2024-07-27 04:52:18.809,2024-07-27 04:52:18.829,00:00:00,20240727,2024-07-27,1722027138.809
